stop_id,stop_name
16959,Milwaukee & Laramie (CTA 5436)
003B,Jefferson Park Transit Center (CTA 41280)
003E,O'Hare (South-bound to Forest Park) (CTA 40890)
1,Jackson & Austin Terminal
2,5900 W Jackson
4,5700 W Jackson
6,Jackson & Lotus
7,5351 W Jackson
8,Jackson & Lockwood
9,Jackson & Laramie
10,Jackson & Leamington
11,5047 W Jackson
12,Jackson & Lavergne
13,4849 W Jackson
14,Jackson & Cicero
15,Jackson & Kilpatrick
16,Jackson & Kenton
18,Jackson & Kilbourn
19,Jackson & Kostner
20,Jackson & Kildare
21,Jackson & Keeler
22,Jackson & Karlov
23,Jackson & Pulaski
24,Jackson & Springfield
25,Jackson & Hamlin
26,Jackson & Central Park
27,Jackson & St. Louis
29,Jackson & Spaulding
30,Jackson & Kedzie
31,Jackson & Albany
32,Jackson & Sacramento
34,Jackson & California
36,2609 W Jackson
38,Jackson & Western
39,Jackson & Oakley
40,Jackson & Leavitt
41,Jackson & Hoyne
42,Jackson & Damen
44,Damen & Congress
48,Harrison & Wood
51,Ashland & Van Buren
52,Malcolm X College
53,Jackson & Ogden
54,Jackson & Paulina
55,Jackson & Ashland
56,Jackson & Laflin
57,Jackson & Loomis
59,Jackson & Racine
60,Jackson & Aberdeen
61,Jackson & Morgan
63,Jackson & Peoria
64,Jackson & Halsted
65,Jackson & Desplaines
67,Jackson & Canal
68,Jackson & Franklin
69,Jackson & Financial Place
70,Jackson & Dearborn
71,Jackson & State
72,Jackson & Wabash
73,Michigan & Van Buren/Ida B. Wells
74,Congress Plaza & Michigan
75,Michigan & Van Buren
76,Michigan & Jackson
77,Adams & Wabash
80,Adams & Wells
84,Van Buren & Canal
86,Van Buren & Jefferson
88,Van Buren & Halsted
89,Van Buren & Peoria
92,Van Buren & Aberdeen
93,Van Buren & Racine
96,Van Buren & Laflin
97,Van Buren & Ashland
99,Van Buren & Ogden
100,1900 W Van Buren
101,Van Buren & Damen
103,Harrison & Paulina
107,Harrison & Ogden
108,Harrison & Damen
111,Damen & Jackson
118,Jackson & Rockwell
119,Jackson & Washtenaw
120,Jackson & California
122,Jackson & Sacramento
123,Jackson & Albany
124,Jackson & Kedzie
126,Jackson & Homan
127,Jackson & St. Louis
128,Central Park & Jackson
129,Jackson & Hamlin
130,Jackson & Springfield
131,Jackson & Pulaski
132,Jackson & Karlov
133,Jackson & Keeler
134,Jackson & Kildare
135,Jackson & Kostner
136,Jackson & Kilbourn
138,Jackson & Kenton
139,Jackson & Kilpatrick
140,Jackson & Cicero
141,4900 W Jackson
142,Jackson & Lavergne
143,5056 W Jackson
144,Jackson & Leamington
145,Jackson & Laramie
146,Jackson & Lockwood
147,5400 W Jackson
148,Jackson & Lotus
149,Jackson & Central
150,5700 W Jackson
152,Jackson & Mayfield
153,Harrison & Central Terminal
154,Harrison & Lotus
155,5400 W Harrison
156,Harrison & Lockwood
157,Harrison & Laramie
158,Harrison & Leamington
159,Harrison & Lavergne
160,Harrison & Cicero
161,Harrison & Kilpatrick
162,4630 W Harrison
163,Harrison & Kolmar
164,Harrison & Kilbourn
165,Harrison & Kostner
166,Kostner & Lexington
167,Fifth Avenue & Kostner
168,Fifth Avenue & Kildare
169,Fifth Avenue & Keeler
170,Fifth Avenue & Karlov
171,Fifth Avenue & Pulaski
172,Harrison & Springfield
174,Harrison & Independence
175,Harrison & Lawndale
177,Harrison & St. Louis
178,Harrison & Homan
179,Harrison & Spaulding
181,Harrison & Albany
182,Harrison & Sacramento
183,Harrison & Francisco
185,Harrison & Washtenaw
186,Harrison & Maplewood
187,Harrison & Campbell
188,Harrison & Western
189,Harrison & Oakley
190,Harrison & Leavitt
191,Harrison & Hoyne
193,Harrison & Ashland
198,Harrison & Racine
200,Harrison & Morgan
201,900 W Harrison
205,UIC-Halsted Blue Line Station
206,Harrison & Halsted
207,900 W Harrison
208,Harrison & Morgan
210,Harrison & Racine
216,Harrison & Hoyne
217,Harrison & Leavitt
218,Harrison & Oakley
220,Harrison & Campbell
221,Harrison & Maplewood
222,Harrison & Washtenaw
224,Harrison & Francisco
225,Harrison & Sacramento
226,Harrison & Albany
