stop_id,stop_name
16959,Milwaukee & Laramie (CTA 5436)
003B,Jefferson Park Transit Cntr (CTA 41280)
003E,O'Hare (South-bnd to Forest Prk) (CTA 40890)
1,Jackson & Austin Terminal
2,5900 W Jackson
4,5700 W Jackson
6,Jackson & Lotus
7,5351 W Jackson
8,Jackson & Lockwood
9,Jackson & Laramie
10,Jackson & Leamington
11,5047 W Jackson
12,Jackson & Lavergne
13,4849 W Jackson
14,Jackson & Cicero
15,Jackson & Kilpatrick
16,Jackson & Kenton
18,Jackson & Kilbourn
19,Jackson & Kostner
20,Jackson & Kildare
21,Jackson & Keeler
22,Jackson & Karlov
23,Jackson & Pulaski
24,Jackson & Springfield
25,Jackson & Hamlin
26,Jackson & Central Park
27,Jackson & St. Louis
29,Jackson & Spaulding
30,Jackson & Kedzie
31,Jackson & Albany
32,Jackson & Sacramento
34,Jackson & California
36,2609 W Jackson
38,Jackson & Western
39,Jackson & Oakley
40,Jackson & Leavitt
41,Jackson & Hoyne
42,Jackson & Damen
44,Damen & Congress
48,Harrison & Wood
51,Ashland & Van Buren
52,Malcolm X College
53,Jackson & Ogden
54,Jackson & Paulina
55,Jackson & Ashland
56,Jackson & Laflin
57,Jackson & Loomis
59,Jackson & Racine
60,Jackson & Aberdeen
61,Jackson & Morgan
63,Jackson & Peoria
64,Jackson & Halsted
65,Jackson & Desplaines
67,Jackson & Canal
68,Jackson & Franklin
69,Jackson & Financial Place
70,Jackson & Dearborn
71,Jackson & State
72,Jackson & Wabash
73,Michigan & Van Buren/Ida B. Wells
74,Congress Plaza & Michigan
75,Michigan & Van Buren
76,Michigan & Jackson
77,Adams & Wabash
80,Adams & Wells
84,Van Buren & Canal
86,Van Buren & Jefferson
88,Van Buren & Halsted
89,Van Buren & Peoria
92,Van Buren & Aberdeen
93,Van Buren & Racine
96,Van Buren & Laflin
97,Van Buren & Ashland
99,Van Buren & Ogden
100,1900 W Van Buren
101,Van Buren & Damen
17997,Ashland & 45th Street
17998,Ashland & 48th Street
18000,Ashland & 61st Street
18001,Ashland & 59th Street
18002,Ashland & 51st Street
18004,Ashland & 48th Street
18005,Cottage Grove & 67th Street
18006,Cottage Grove & 65th Street
18007,Cottage Grove & 64th Street
18008,Cottage Grove & 64th Street
18009,Halsted & Jackson
18010,Broadway & Foster
18011,Halsted & Randolph
18012,5800 S Ellis
18015,Dodge & Dempster
18016,State & 94th Street
18018,55th Street & University
18019,Pershing & Ashland
18020,Ashland & Pershing
18022,51st Street & Loomis
18023,51st Street & Racine
18024,51st Street & Morgan
18025,51st Street & Loomis
18026,51st Street & Ashland
18027,75th Street & Dorchester
18029,59th Street & Kedzie
18030,59th Street & Kedzie
18031,59th Street & Pulaski
18032,Garfield & LaSalle
18033,Clark & Waveland
18043,State & 51st Street
18044,Harlem & Altgeld
18045,Emerson & Dewey
18046,Emerson & Dewey
18047,Madison & Springfield
18050,915 E. 60th Street
18051,Cermak-McCormick Place Green Line Station
18052,Cermak-McCormick Place Green Line Station
18064,Armitage Station (Brown Line)
18066,Forest Preserve Avenue & Oak Park
18067,Forest Preserve Avenue & Oak Park
18079,Beverly & 99th Street
18083,Clark & Roscoe
18084,69th Street & Damen
18086,Fullerton & Western
18088,Fullerton & Rockwell
18090,Vincennes & 81st Street
18091,Central & Division
18092,Central & Division
18093,Sacramento & Ohio
18094,Cicero & Division
18095,Cicero & Augusta
18096,Cicero & Ohio
18097,Cicero & Maypole
18098,Cicero & Washington
18099,Cicero & Jackson
18100,Cicero & Washington
18101,Cicero & Division
18102,Cicero & Adams
18103,Damen & 87th Street
18106,Lawrence & Pulaski
18107,Lawrence & Central Park
18109,Lawrence & Central
18110,Lawrence & Long
18111,Lawrence & Long
18112,Lawrence & Central
18113,Northwest Hwy & Monitor
18114,Milwaukee & Noble
18116,Jackson & Francisco
18117,Jackson & Francisco
18118,Jackson & Washtenaw
18119,Jackson & Spaulding
18121,Yates & 95th Street
18122,Washington & Clark/Dearborn
18123,Madison & LaSalle
18124,Madison & Franklin
18125,Clinton & Madison
18126,Madison & Dearborn/State
18127,Sheridan & Birchwood
18129,Harrison & Damen
18130,Harrison & Western
18131,Harrison & California
18132,Irving Park & Forest Preserve
18136,Field Museum East Parking Lot
18152,Central Street & Jackson
18153,Central Street & Jackson
18154,State & Washington
18155,Western Brown Line Station
18156,Division & Clybourn
18162,Division & Oakley
18163,Division & Oakley
18164,California & Archer
